Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT3G06240	AT3G06240.1	""	1	F-box family protein
AT3G06250	AT3G06250.1	FRS7	1	FAR1-related sequence 7
AT3G06260	AT3G06260.1	GATL4	NA	galacturonosyltransferase-like 4
AT3G06270	AT3G06270.1	""	NA	Protein phosphatase 2C family protein
AT3G06280	AT3G06280.1	""	NA	F-box associated ubiquitination effector family protein
AT3G06290	AT3G06290.1	AtSAC3B	1	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
AT3G06300	AT3G06300.1	AT-P4H-2	1	P4H isoform 2
AT3G06310	AT3G06310.1	""	NA	Cox19-like CHCH family protein
AT3G06320	AT3G06320.1	""	1	Ribosomal protein L33 family protein
AT3G06330	AT3G06330.1	""	1	RING/U-box superfamily protein
AT3G06340	AT3G06340.1	""	1	DNAJ heat shock N-terminal domain-containing protein
AT3G06350	AT3G06350.1	EMB3004	0.05548	dehydroquinate dehydratase, putative / shikimate dehydrogenase
AT3G06360	AT3G06360.1	AGP27	NA	arabinogalactan protein 27
AT3G06370	AT3G06370.1	ATNHX4	1	sodium hydrogen exchanger 4
AT3G06380	AT3G06380.1	ATTLP9	0.86589	tubby-like protein 9
AT3G06390	AT3G06390.1	CASPL1D2	NA	Uncharacterized protein family (UPF0497)
AT3G06400	AT3G06400.3	CHR11	1	chromatin-remodeling protein 11
AT3G06410	AT3G06410.1	""	1	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G06420	AT3G06420.1	ATG8H	NA	Ubiquitin-like superfamily protein
AT3G06430	AT3G06430.1	AtPPR2	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G06435	AT3G06435.1	""	1	Expressed protein
AT3G06440	AT3G06440.1	GALT3	1	Galactosyltransferase family protein
AT3G06450	AT3G06450.1	""	0.779062	HCO3- transporter family
AT3G06455	AT3G06455.1	""	NA	ubiquitin family protein
AT3G06460	AT3G06460.1	""	NA	GNS1/SUR4 membrane protein family
AT3G06470	AT3G06470.1	""	NA	GNS1/SUR4 membrane protein family
AT3G06480	AT3G06480.1	RH40	1	DEAD box RNA helicase family protein
AT3G06483	AT3G06483.1	ATPDHK	1	pyruvate dehydrogenase kinase
AT3G06490	AT3G06490.1	AtMYB108	NA	myb domain protein 108
AT3G06500	AT3G06500.1	A/N-InvC	0.145459	Plant neutral invertase family protein
AT3G06510	AT3G06510.2	ATSFR2	7.7e-05	Glycosyl hydrolase superfamily protein
AT3G06520	AT3G06520.1	""	NA	agenet domain-containing protein
AT3G06530	AT3G06530.2	""	1	ARM repeat superfamily protein
AT3G06540	AT3G06540.1	AthREP	NA	Rab escort protein
AT3G06545	AT3G06545.1	""	NA	transmembrane protein
AT3G06550	AT3G06550.2	RWA2	1	O-acetyltransferase family protein
AT3G06560	AT3G06560.1	PAPS3	NA	poly(A) polymerase 3
AT3G06570	AT3G06570.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT3G06580	AT3G06580.1	GAL1	NA	Mevalonate/galactokinase family protein
AT3G06590	AT3G06590.1	AIF2	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G06600	AT3G06600.1	SINE3	NA	transmembrane protein
AT3G06610	AT3G06610.1	""	NA	DNA-binding enhancer protein-like protein
AT3G06620	AT3G06620.1	""	1	PAS domain-containing protein tyrosine kinase family protein
AT3G06630	AT3G06630.1	""	NA	protein kinase family protein
AT3G06640	AT3G06640.1	""	NA	PAS domain-containing protein tyrosine kinase family protein
AT3G06650	AT3G06650.1	ACLB-1	0.851554	ATP-citrate lyase B-1
AT3G06660	AT3G06660.1	""	1	PAPA-1-like family protein / zinc finger (HIT type) family protein
AT3G06670	AT3G06670.2	PSY2L	1	binding protein
AT3G06680	AT3G06680.1	""	NA	Ribosomal L29e protein family
AT3G06690	AT3G06690.1	""	1	putative acyl-coenzyme A oxidase
AT3G06700	AT3G06700.1	""	1	Ribosomal L29e protein family
AT3G06710	AT3G06710.1	""	1	E3 ubiquitin ligase
AT3G06720	AT3G06720.1	AIMP ALPHA	1	importin alpha isoform 1
AT3G06730	AT3G06730.1	TRX P	NA	Thioredoxin z
AT3G06740	AT3G06740.1	GATA15	NA	GATA transcription factor 15
AT3G06750	AT3G06750.1	""	NA	hydroxyproline-rich glycoprotein family protein
AT3G06760	AT3G06760.2	""	0.108161	Drought-responsive family protein
AT3G06770	AT3G06770.2	""	0.690246	Pectin lyase-like superfamily protein
AT3G06778	AT3G06778.1	""	1	Chaperone DnaJ-domain superfamily protein
AT3G06780	AT3G06780.1	""	NA	glycine-rich protein
AT3G06790	AT3G06790.1	MORF3	NA	plastid developmental protein DAG
AT3G06810	AT3G06810.1	IBR3	0.663055	acyl-CoA dehydrogenase-like protein
AT3G06820	AT3G06820.2	AtBRCC36B	0.025011	Mov34/MPN/PAD-1 family protein
AT3G06830	AT3G06830.1	""	1	Plant invertase/pectin methylesterase inhibitor superfamily
AT3G06840	AT3G06840.1	""	1	hypothetical protein
AT3G06850	AT3G06850.1	BCE2	0.984844	2-oxoacid dehydrogenases acyltransferase family protein
AT3G06860	AT3G06860.1	ATMFP2	1	multifunctional protein 2
AT3G06868	AT3G06868.1	""	NA	vitellogenin-like protein
AT3G06870	AT3G06870.1	""	NA	proline-rich family protein
AT3G06880	AT3G06880.2	""	0.064482	Transducin/WD40 repeat-like superfamily protein
AT3G06890	AT3G06890.1	""	NA	transmembrane protein
AT3G06895	AT3G06895.1	""	NA	syntaxin KNOLLE-like protein
AT3G06910	AT3G06910.1	AtULP1a	NA	UB-like protease 1A
AT3G06920	AT3G06920.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G06930	AT3G06930.2	ATPRMT4B	0.383346	protein arginine methyltransferase 4B
AT3G06950	AT3G06950.1	""	1	Pseudouridine synthase family protein
AT3G06960	AT3G06960.1	PDE320	NA	pigment defective 320
AT3G06970	AT3G06970.1	""	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G06980	AT3G06980.1	""	0.973036	DEA(D/H)-box RNA helicase family protein
AT3G06985	AT3G06985.1	LCR44	NA	low-molecular-weight cysteine-rich 44
AT3G06990	AT3G06990.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT3G07000	AT3G07000.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT3G07005	AT3G07005.1	LCR43	NA	low-molecular-weight cysteine-rich 43
AT3G07010	AT3G07010.1	""	NA	Pectin lyase-like superfamily protein
AT3G07020	AT3G07020.2	SGT	1	UDP-Glycosyltransferase superfamily protein
AT3G07030	AT3G07030.1	""	1	Alba DNA/RNA-binding protein
AT3G07040	AT3G07040.1	RPM1	NA	NB-ARC domain-containing disease resistance protein
AT3G07050	AT3G07050.1	NSN1	1	GTP-binding family protein
AT3G07060	AT3G07060.1	emb1974	1	NHL domain-containing protein
AT3G07070	AT3G07070.1	""	NA	Protein kinase superfamily protein
AT3G07080	AT3G07080.1	""	NA	EamA-like transporter family
AT3G07090	AT3G07090.1	""	1	PPPDE putative thiol peptidase family protein
AT3G07100	AT3G07100.1	AtSEC24A	1	Sec23/Sec24 protein transport family protein
AT3G07110	AT3G07110.2	""	NA	Ribosomal protein L13 family protein
AT3G07120	AT3G07120.1	""	NA	RING/U-box superfamily protein
AT3G07130	AT3G07130.1	ATPAP15	NA	purple acid phosphatase 15
AT3G07140	AT3G07140.1	""	1	GPI transamidase component Gpi16 subunit family protein
AT3G07150	AT3G07150.1	""	NA	amino acid-ligase
AT3G07160	AT3G07160.1	ATGSL10	1	glucan synthase-like 10
AT3G07170	AT3G07170.1	""	7.7e-05	Sterile alpha motif (SAM) domain-containing protein
AT3G07180	AT3G07180.1	""	0.094389	GPI transamidase component PIG-S-like protein
AT3G07190	AT3G07190.1	""	0.536375	B-cell receptor-associated protein 31-like protein
AT3G07195	AT3G07195.1	""	NA	RPM1-interacting protein 4 (RIN4) family protein
AT3G07200	AT3G07200.1	""	1	RING/U-box superfamily protein
AT3G07210	AT3G07210.1	""	NA	hypothetical protein
AT3G07220	AT3G07220.1	AtFHA2	1	SMAD/FHA domain-containing protein
AT3G07230	AT3G07230.1	""	NA	wound-responsive protein-like protein
AT3G07250	AT3G07250.1	""	1	RNA-binding (RRM-RBD-RNP motif) domain nuclear transport factor 2 family protein
AT3G07260	AT3G07260.1	""	NA	SMAD/FHA domain-containing protein
AT3G07270	AT3G07270.1	""	NA	GTP cyclohydrolase I
AT3G07273	AT3G07273.1	""	NA	hypothetical protein
AT3G07290	AT3G07290.1	""	1	Pentatricopeptide repeat (PPR) superfamily protein
AT3G07300	AT3G07300.3	""	1	NagB/RpiA/CoA transferase-like superfamily protein
AT3G07310	AT3G07310.1	""	NA	phosphoserine aminotransferase, putative (DUF760)
AT3G07320	AT3G07320.1	""	NA	O-Glycosyl hydrolases family 17 protein
AT3G07330	AT3G07330.1	ATCSLC06	1	Cellulose-synthase-like C6
AT3G07340	AT3G07340.1	CIB3	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G07350	AT3G07350.1	""	NA	sulfate/thiosulfate import ATP-binding protein, putative (DUF506)
AT3G07360	AT3G07360.1	ATPUB9	0.148695	plant U-box 9
AT3G07370	AT3G07370.1	ATCHIP	1	carboxyl terminus of HSC70-interacting protein
AT3G07380	AT3G07380.1	""	NA	glycosyltransferase family protein (DUF23)
AT3G07390	AT3G07390.1	AIR12	NA	auxin-induced in root cultures-like protein
AT3G07400	AT3G07400.1	""	0.779062	lipase class 3 family protein
AT3G07410	AT3G07410.1	AtRABA5b	NA	RAB GTPase homolog A5B
AT3G07420	AT3G07420.1	ATNS2	NA	asparaginyl-tRNA synthetase 2
AT3G07425	AT3G07425.1	""	NA	transmembrane protein
AT3G07430	AT3G07430.1	ATYLMG1-1	NA	YGGT family protein
AT3G07440	AT3G07440.1	""	1	hypothetical protein
AT3G07450	AT3G07450.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT3G07460	AT3G07460.2	""	1	transmembrane protein, putative (Protein of unknown function, DUF538)
AT3G07470	AT3G07470.1	""	1	transmembrane protein, putative (Protein of unknown function, DUF538)
AT3G07480	AT3G07480.1	""	NA	2Fe-2S ferredoxin-like superfamily protein
AT3G07490	AT3G07490.1	AGD11	NA	ARF-GAP domain 11
AT3G07500	AT3G07500.1	FRF2	NA	Far-red impaired responsive (FAR1) family protein
AT3G07510	AT3G07510.1	""	1	maternal effect embryo arrest protein
AT3G07520	AT3G07520.1	ATGLR1.4	1	glutamate receptor 1.4
AT3G07522	AT3G07522.1	""	NA	hypothetical protein
AT3G07525	AT3G07525.2	ATATG10	1	autophagocytosis-associated family protein
AT3G07530	AT3G07530.1	DSP4	1	integrator complex subunit
AT3G07540	AT3G07540.1	FH10	NA	Actin-binding FH2 (formin homology 2) family protein
AT3G07550	AT3G07550.1	""	1	RNI-like superfamily protein
AT3G07560	AT3G07560.1	APM2	1	peroxin 13
AT3G07565	AT3G07565.4	""	1	histone H2A deubiquitinase (DUF3755)
AT3G07568	AT3G07568.1	""	NA	fanconi anemia group D2 protein
AT3G07570	AT3G07570.1	""	0.000143	Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein
AT3G07580	AT3G07580.2	""	NA	hypothetical protein
AT3G07590	AT3G07590.1	SmD1a	0.000247	Small nuclear ribonucleoprotein family protein
AT3G07600	AT3G07600.1	""	1	Heavy metal transport/detoxification superfamily protein
AT3G07610	AT3G07610.3	IBM1	1	Transcription factor jumonji (jmjC) domain-containing protein
AT3G07620	AT3G07620.1	""	NA	glycosyltransferase
AT3G07630	AT3G07630.1	ADT2	1	arogenate dehydratase 2
AT3G07640	AT3G07640.1	""	1	period circadian protein
AT3G07650	AT3G07650.1	BBX7	1	CONSTANS-like 9
AT3G07660	AT3G07660.1	""	NA	flocculation protein (DUF1296)
AT3G07670	AT3G07670.1	""	0.003835	Rubisco methyltransferase family protein
AT3G07680	AT3G07680.1	p24beta2	1	emp24/gp25L/p24 family/GOLD family protein
AT3G07690	AT3G07690.1	""	1	6-phosphogluconate dehydrogenase family protein
AT3G07700	AT3G07700.3	abc1k7	0.890592	Protein kinase superfamily protein
AT3G07710	AT3G07710.1	""	NA	hypothetical protein
AT3G07720	AT3G07720.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT3G07730	AT3G07730.1	""	NA	hypothetical protein
AT3G07740	AT3G07740.4	ADA2A	0.459281	ADA2 2A
AT3G07750	AT3G07750.1	RRP42	1	3-5-exoribonuclease family protein
AT3G07760	AT3G07760.1	""	0.57621	Sterile alpha motif (SAM) domain-containing protein
AT3G07770	AT3G07770.1	AtHsp90-6	1	HEAT SHOCK PROTEIN 89.1
AT3G07780	AT3G07780.1	OBE1	1	potyvirus VPg interacting protein (DUF1423)
AT3G07790	AT3G07790.1	""	NA	DGCR14-like protein
AT3G07800	AT3G07800.1	AtTK1a	NA	Thymidine kinase
AT3G07810	AT3G07810.2	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G07820	AT3G07820.1	""	NA	Pectin lyase-like superfamily protein
AT3G07830	AT3G07830.1	PGA3	NA	Pectin lyase-like superfamily protein
AT3G07840	AT3G07840.1	""	NA	Pectin lyase-like superfamily protein
AT3G07850	AT3G07850.1	""	NA	Pectin lyase-like superfamily protein
AT3G07860	AT3G07860.1	""	1	Ubiquitin-like superfamily protein
AT3G07870	AT3G07870.1	FBX92	NA	F-box and associated interaction domains-containing protein
AT3G07880	AT3G07880.1	SCN1	NA	Immunoglobulin E-set superfamily protein
AT3G07890	AT3G07890.1	""	1	Ypt/Rab-GAP domain of gyp1p superfamily protein
AT3G07900	AT3G07900.1	""	NA	O-fucosyltransferase family protein
AT3G07910	AT3G07910.1	""	NA	reactive oxygen species modulator-like protein
AT3G07920	AT3G07920.1	""	NA	Translation initiation factor IF2/IF5
AT3G07930	AT3G07930.3	""	1	DNA glycosylase superfamily protein
AT3G07940	AT3G07940.1	""	1	Calcium-dependent ARF-type GTPase activating protein family
AT3G07950	AT3G07950.1	""	NA	rhomboid protein-like protein
AT3G07960	AT3G07960.1	PIP5K6	NA	Phosphatidylinositol-4-phosphate 5-kinase family protein
AT3G07970	AT3G07970.1	QRT2	NA	Pectin lyase-like superfamily protein
AT3G07980	AT3G07980.1	MAP3KE2	1	mitogen-activated protein kinase kinase kinase 6
AT3G07990	AT3G07990.1	SCPL27	0.257838	serine carboxypeptidase-like 27
AT3G08000	AT3G08000.1	""	0.438739	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G08010	AT3G08010.1	ATAB2	1	RNA binding protein
AT3G08020	AT3G08020.1	""	1	PHD finger family protein
AT3G08030	AT3G08030.1	""	NA	DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)
AT3G08040	AT3G08040.1	ATFRD3	1	MATE efflux family protein
AT3G08490	AT3G08490.1	""	1	delta-latroinsectotoxin-Lt1a protein
AT3G08500	AT3G08500.1	AtMYB83	NA	myb domain protein 83
AT3G08505	AT3G08505.2	""	1	zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT3G08510	AT3G08510.1	ATPLC2	1	phospholipase C 2
AT3G08520	AT3G08520.1	""	NA	Ribosomal protein L41 family
AT3G08530	AT3G08530.1	AtCHC2	1	Clathrin, heavy chain
AT3G08550	AT3G08550.1	ABI8	0.841598	elongation defective 1 protein / ELD1 protein
AT3G08560	AT3G08560.1	VHA-E2	NA	vacuolar H+-ATPase subunit E isoform 2
AT3G08570	AT3G08570.1	""	NA	Phototropic-responsive NPH3 family protein
AT3G08580	AT3G08580.1	AAC1	1	ADP/ATP carrier 1
AT3G08590	AT3G08590.1	iPGAM2	1	Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent
AT3G08600	AT3G08600.1	""	NA	transmembrane protein, putative (DUF1191)
AT3G08610	AT3G08610.1	""	1	NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit
AT3G08620	AT3G08620.1	""	0.023444	RNA-binding KH domain-containing protein
AT3G08630	AT3G08630.1	RER2	1	alphavirus core family protein (DUF3411)
AT3G08636	AT3G08636.1	""	NA	hypothetical protein
AT3G08640	AT3G08640.1	RER3	NA	alphavirus core family protein (DUF3411)
AT3G08650	AT3G08650.2	""	1	ZIP metal ion transporter family
AT3G08660	AT3G08660.1	""	NA	Phototropic-responsive NPH3 family protein
AT3G08670	AT3G08670.1	""	0.485278	serine/arginine repetitive matrix-like protein
AT3G08680	AT3G08680.1	""	1	Leucine-rich repeat protein kinase family protein
AT3G08690	AT3G08690.1	ATUBC11	1	ubiquitin-conjugating enzyme 11
AT3G08700	AT3G08700.1	UBC12	NA	ubiquitin-conjugating enzyme 12
AT3G08710	AT3G08710.1	ATH9	0.935094	thioredoxin H-type 9
AT3G08720	AT3G08720.1	ATPK19	1	serine/threonine protein kinase 2
AT3G08730	AT3G08730.1	ATPK1	1	protein-serine kinase 1
AT3G08740	AT3G08740.1	""	1	elongation factor P (EF-P) family protein
AT3G08750	AT3G08750.1	""	NA	F-box and associated interaction domains-containing protein
AT3G08760	AT3G08760.1	ATSIK	1	Protein kinase superfamily protein
AT3G08770	AT3G08770.2	AtLtpI-6	NA	lipid transfer protein 6
AT3G08780	AT3G08780.1	""	NA	BRISC complex subunit Abro1-like protein
AT3G08790	AT3G08790.1	""	NA	ENTH/VHS/GAT family protein
AT3G08800	AT3G08800.1	DSP3	1	ARM repeat superfamily protein
AT3G08810	AT3G08810.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT3G08820	AT3G08820.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G08840	AT3G08840.2	""	0.621996	D-alanine-D-alanine ligase family
AT3G08850	AT3G08850.1	ATRAPTOR1B	0.044607	Regulatory-associated protein of TOR 1
AT3G08860	AT3G08860.1	PYD4	1	PYRIMIDINE 4
AT3G08870	AT3G08870.1	LecRK-VI.1	NA	Concanavalin A-like lectin protein kinase family protein
AT3G08880	AT3G08880.1	MUN	NA	plectin-like protein
AT3G08890	AT3G08890.1	""	1	hypothetical protein (Protein of unknown function, DUF538)
AT3G08900	AT3G08900.1	RGP	NA	reversibly glycosylated polypeptide 3
AT3G08910	AT3G08910.1	""	NA	DNAJ heat shock family protein
AT3G08920	AT3G08920.1	""	NA	Rhodanese/Cell cycle control phosphatase superfamily protein
AT3G08930	AT3G08930.1	""	1	LMBR1-like membrane protein
AT3G08940	AT3G08940.2	LHCB4.2	1	light harvesting complex photosystem II
AT3G08943	AT3G08943.1	""	NA	ARM repeat superfamily protein
AT3G08947	AT3G08947.1	""	NA	ARM repeat superfamily protein
AT3G08950	AT3G08950.1	HCC1	0.47338	electron transport SCO1/SenC family protein
AT3G08960	AT3G08960.1	""	0.024151	ARM repeat superfamily protein
AT3G08970	AT3G08970.1	ATERDJ3A	NA	DNAJ heat shock N-terminal domain-containing protein
AT3G08980	AT3G08980.1	""	1	Peptidase S24/S26A/S26B/S26C family protein
AT3G08990	AT3G08990.1	""	1	Yippee family putative zinc-binding protein
AT3G09000	AT3G09000.1	BPP2	1	proline-rich family protein
AT3G09010	AT3G09010.1	""	1	Protein kinase superfamily protein
AT3G09020	AT3G09020.1	""	1	alpha 1,4-glycosyltransferase family protein
AT3G09030	AT3G09030.1	EAP3	NA	BTB/POZ domain-containing protein
AT3G09032	AT3G09032.1	""	NA	josephin-like protein
AT3G09035	AT3G09035.1	""	NA	Concanavalin A-like lectin family protein
AT3G09040	AT3G09040.1	MEF12	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G09050	AT3G09050.1	""	7.7e-05	8-amino-7-oxononanoate synthase
AT3G09060	AT3G09060.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G09070	AT3G09070.1	OPS	NA	LOW protein: UPF0503-like protein, putative (DUF740)
AT3G09080	AT3G09080.1	""	NA	Transducin/WD40 repeat-like superfamily protein
AT3G09085	AT3G09085.1	""	NA	transmembrane protein (DUF962)
AT3G09090	AT3G09090.1	DEX1	1	defective in exine formation protein (DEX1)
AT3G09100	AT3G09100.2	""	1	mRNA capping enzyme family protein
AT3G09110	AT3G09110.1	""	NA	hypothetical protein (DUF674)
AT3G09120	AT3G09120.1	""	NA	hypothetical protein (DUF674)
AT3G09130	AT3G09130.1	""	NA	hypothetical protein
AT3G09140	AT3G09140.1	""	NA	hypothetical protein (DUF674)
AT3G09150	AT3G09150.2	ATHY2	1	phytochromobilin:ferredoxin oxidoreductase, chloroplast / phytochromobilin synthase (HY2)
AT3G09160	AT3G09160.1	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G09162	AT3G09162.1	""	1	hypothetical protein
AT3G09180	AT3G09180.1	MED3	1	mediator of RNA polymerase II transcription subunit
AT3G09190	AT3G09190.1	""	NA	Concanavalin A-like lectin family protein
AT3G09200	AT3G09200.1	""	NA	Ribosomal protein L10 family protein
AT3G09210	AT3G09210.1	PTAC13	NA	plastid transcriptionally active 13
AT3G09220	AT3G09220.1	LAC7	1	laccase 7
AT3G09230	AT3G09230.1	AtMYB1	NA	myb domain protein 1
AT3G09240	AT3G09240.1	BSK9	NA	kinase with tetratricopeptide repeat domain-containing protein
AT3G09250	AT3G09250.2	""	1	Nuclear transport factor 2 (NTF2) family protein
AT3G09260	AT3G09260.1	BGLU23	1	Glycosyl hydrolase superfamily protein
AT3G09270	AT3G09270.1	ATGSTU8	NA	glutathione S-transferase TAU 8
AT3G09280	AT3G09280.1	""	NA	transmembrane protein
AT3G09290	AT3G09290.1	TAC1	NA	telomerase activator1
AT3G09300	AT3G09300.1	ORP3B	NA	OSBP(oxysterol binding protein)-related protein 3B
AT3G09310	AT3G09310.1	""	1	membrane protein insertion efficiency factor
AT3G09320	AT3G09320.1	""	0.569955	DHHC-type zinc finger family protein
AT3G09330	AT3G09330.1	""	NA	Transmembrane amino acid transporter family protein
AT3G09340	AT3G09340.1	""	NA	Transmembrane amino acid transporter family protein
AT3G09350	AT3G09350.1	Fes1A	0.000197	Fes1A
AT3G09360	AT3G09360.1	""	1	Cyclin/Brf1-like TBP-binding protein
AT3G09370	AT3G09370.2	AtMYB3R3	1	myb domain protein 3r-3
AT3G09380	AT3G09380.1	""	NA	MIP18 family protein
AT3G09390	AT3G09390.1	ATMT-1	1	metallothionein 2A
AT3G09400	AT3G09400.1	PLL3	NA	pol-like 3
AT3G09405	AT3G09405.1	AtPAE4	1	Pectinacetylesterase family protein
AT3G09410	AT3G09410.1	AtPAE5	1	Pectinacetylesterase family protein
AT3G09430	AT3G09430.1	""	NA	peptide transporter family protein
AT3G09440	AT3G09440.1	""	1	Heat shock protein 70 (Hsp 70) family protein
AT3G09450	AT3G09450.1	""	NA	fusaric acid resistance family protein
AT3G09470	AT3G09470.1	AtUNC93	1	Major facilitator superfamily protein
AT3G09480	AT3G09480.1	""	NA	Histone superfamily protein
AT3G09490	AT3G09490.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G09500	AT3G09500.1	""	1	Ribosomal L29 family protein
AT3G09510	AT3G09510.1	""	NA	Ribonuclease H-like superfamily protein
AT3G09520	AT3G09520.1	ATEXO70H4	NA	exocyst subunit exo70 family protein H4
AT3G09530	AT3G09530.1	ATEXO70H3	NA	exocyst subunit exo70 family protein H3
AT3G09540	AT3G09540.1	""	NA	Pectin lyase-like superfamily protein
AT3G09550	AT3G09550.1	""	NA	Ankyrin repeat family protein
AT3G09560	AT3G09560.2	ATPAH1	1	Lipin family protein
AT3G09570	AT3G09570.1	""	NA	Lung seven transmembrane receptor family protein
AT3G09580	AT3G09580.1	""	NA	FAD/NAD(P)-binding oxidoreductase family protein
AT3G09590	AT3G09590.1	""	NA	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
AT3G09600	AT3G09600.1	LCL5	1	Homeodomain-like superfamily protein
AT3G09620	AT3G09620.1	""	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G09630	AT3G09630.1	SAC56	NA	Ribosomal protein L4/L1 family
AT3G09640	AT3G09640.1	APX1B	1	ascorbate peroxidase 2
AT3G09650	AT3G09650.1	CRM3	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G09660	AT3G09660.1	AtMCM8	1	minichromosome maintenance 8
AT3G09670	AT3G09670.1	PDP2	1	Tudor/PWWP/MBT superfamily protein
AT3G09680	AT3G09680.1	""	NA	Ribosomal protein S12/S23 family protein
AT3G09690	AT3G09690.1	""	1	alpha/beta-Hydrolases superfamily protein
AT3G09700	AT3G09700.1	""	NA	Chaperone DnaJ-domain superfamily protein
AT3G09710	AT3G09710.2	IQD1	NA	IQ-domain 1
AT3G09720	AT3G09720.1	AtRH57	0.041818	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G09730	AT3G09730.2	""	NA	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein
AT3G09735	AT3G09735.1	""	1	S1FA-like DNA-binding protein
AT3G09740	AT3G09740.1	ATSYP71	NA	syntaxin of plants 71
AT3G09750	AT3G09750.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT3G09760	AT3G09760.1	""	0.010501	RING/U-box superfamily protein
AT3G09770	AT3G09770.1	AIRP3	NA	RING/U-box superfamily protein
AT3G09780	AT3G09780.1	ATCRR1	NA	CRINKLY4 related 1
AT3G09790	AT3G09790.1	UBQ8	NA	ubiquitin 8
AT3G09800	AT3G09800.1	""	0.032233	SNARE-like superfamily protein
AT3G09810	AT3G09810.1	IDH-VI	1	isocitrate dehydrogenase VI
AT3G09820	AT3G09820.1	ADK1	1	adenosine kinase 1
AT3G09830	AT3G09830.1	PCRK1	1	Protein kinase superfamily protein
AT3G09840	AT3G09840.1	ATCDC48	NA	cell division cycle 48
AT3G09850	AT3G09850.1	""	1	D111/G-patch domain-containing protein
AT3G09860	AT3G09860.1	""	NA	actin T1-like protein
AT3G09863	AT3G09863.1	""	NA	hypothetical protein
AT3G09870	AT3G09870.1	SAUR48	NA	SAUR-like auxin-responsive protein family
AT3G09880	AT3G09880.1	ATB' BETA	NA	Protein phosphatase 2A regulatory B subunit family protein
AT3G09890	AT3G09890.1	""	NA	Ankyrin repeat family protein
AT3G09900	AT3G09900.1	ATRAB8E	1	RAB GTPase homolog E1E
AT3G09910	AT3G09910.1	ATRAB18C	1	RAB GTPase homolog C2B
AT3G09920	AT3G09920.1	PIP5K9	1	phosphatidyl inositol monophosphate 5 kinase
AT3G09922	AT3G09922.1	ATIPS1	NA	induced by phosphate starvation1
AT3G09925	AT3G09925.1	""	NA	Pollen Ole e 1 allergen and extensin family protein
AT3G09930	AT3G09930.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT3G09940	AT3G09940.1	AtMDAR3	1	monodehydroascorbate reductase
AT3G09950	AT3G09950.1	""	NA	hypothetical protein
AT3G09960	AT3G09960.1	""	1	Calcineurin-like metallo-phosphoesterase superfamily protein
AT3G09970	AT3G09970.1	RLPH2	1	Calcineurin-like metallo-phosphoesterase superfamily protein
AT3G09980	AT3G09980.1	ACIP1	NA	ankyrin repeat 30A-like protein (DUF662)
AT3G09990	AT3G09990.1	""	NA	Nucleoside transporter family protein
AT3G10000	AT3G10000.1	EDA31	NA	Homeodomain-like superfamily protein
AT3G10010	AT3G10010.1	DML2	NA	demeter-like 2
AT3G10020	AT3G10020.1	""	NA	plant/protein
AT3G10030	AT3G10030.1	""	1	aspartate/glutamate/uridylate kinase family protein
AT3G10040	AT3G10040.1	HRA1	NA	sequence-specific DNA binding transcription factor
AT3G10050	AT3G10050.1	OMR1	0.139116	L-O-methylthreonine resistant 1
AT3G10060	AT3G10060.1	""	7.7e-05	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
AT3G10070	AT3G10070.1	TAF12	NA	TBP-associated factor 12
